n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,block,model,noise,optimizer,filter,metric,conv_F0,conv_Fk,speedup,p_holm
8,2.0271179903962926,106.44321669915266,31.400166226737834,4.292024925427505e-09,11.101635234655564,1.8744636277945603,2.179772352998025,0.00390625,0.00390625,1.0,108.267734861719,66.17630826489929,145.10624643973622,A,quadratic,N3,sgd,F4,floor,0.0,1.0,,8.111927109057984e-07
8,1.3145609229169615,20.632930861780135,28.61106193731688,8.194105632196428e-09,10.115537956412542,1.205916139114954,1.423205706718969,0.00390625,0.00390625,1.0,19.576184622863636,17.771863068454156,25.176043939401143,A,ar,N3,sgd,F4,floor,1.0,1.0,,1.5404918588529285e-06
8,2.1290914144502384,134.61436734136151,12.494548862405198,2.4233153029948406e-06,4.4174901142366885,1.7261556023685944,2.5320272265318824,0.00390625,0.00390625,1.0,132.7875970723802,51.506270114215525,477.24597535915785,A,logistic,N3,sgd,F4,floor,0.0,1.0,,0.0003901537637821693
8,1.0856998770141955,,7.844970469096579,5.162922503247667e-05,2.7736159084532006,0.758449153859502,1.412950600168889,,,,11.24,4.061224489795919,25.74468085106383,B,quadratic,N2,adam,F3,t_eps,,,12.18147496545862,0.009603035856040661
8,0.8551022761145319,,6.382939163424997,0.0001866490213804011,2.2567097831795015,0.538321005304544,1.17188354692452,,,,8.094464195022855,3.362447257383966,20.151133501259444,B,ar,N2,adam,F3,t_eps,,,7.163120814571333,0.033970121891233
8,0.14102243725722746,,1.0047610369958464,0.1742364414819191,0.35523667136589526,-0.19086252133371795,0.4729073958481729,,,,1.0,1.0,1.7357344326318074,B,logistic,N2,adam,F3,t_eps,,,1.3836378609683362,1.0
8,-0.04040698351639688,0.9111565813990432,-2.2280001608218756,0.9694244737507842,-0.7877170111009333,-0.0832917798627921,0.0024778128299983507,0.9609375,0.96484375,0.6412066070783287,0.9474933227090234,0.8324104476952753,1.0791700701576326,A,ar,N1,sgd,F4,floor,1.0,1.0,,1.0
8,-0.04790077899972989,0.8955693482473029,-2.3573117020267844,0.9747296060931269,-0.8334355449367706,-0.09595014964323109,0.00014859164377132444,0.97265625,0.97265625,0.6833485252477294,0.9204265847229705,0.7744317284346913,1.0354089705618406,A,logistic,N1,sgd,F4,floor,1.0,1.0,,1.0
8,-0.10057383273224446,0.7932793829400689,-11.16554315316281,0.9999948508661989,-3.9476156396162243,-0.12187322862297957,-0.07927443684150935,1.0,1.0,0.9999999999999998,0.76265485566809,0.7501170972193504,0.8162504705025533,A,quadratic,N1,sgd,F4,floor,1.0,1.0,,1.0
8,0.029467503263243017,1.070206300121807,3.596303650354714,0.004391493123493846,1.2714853491858762,0.01009217247234018,0.048842834054145856,0.01953125,0.015625,0.9426111932022176,1.0235221412050683,0.9994027252110069,1.1211586920988799,A,ar,N4,sgd,F4,floor,0.0,0.0,,0.6411579960301015
8,0.03988735817646413,1.096193842339789,3.49161030131795,0.00505334287556722,1.2344706606613634,0.012874431092237938,0.06690028526069033,0.0078125,0.0078125,0.9311643426134899,1.0708454894048314,1.02044570893544,1.2423264382752917,A,quadratic,N4,sgd,F4,floor,0.0,0.0,,0.7226280312061124
8,0.0012868149504743423,1.0029673949483997,2.0140642160828417,0.04193074171922073,0.7120792324686727,-0.00022397791050097083,0.0027976078114496554,0.0390625,0.0390625,0.567698809920077,1.0008686849792563,0.9966013131275844,1.0055058398043564,A,logistic,N4,sgd,F4,floor,0.0,0.0,,1.0
